"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Test that should pass - Klasters","Frontend Test Automation - KLASTERS","Mon Feb 10 18:41:54 GMT 2025","passed","Mon Feb 10 18:41:54 GMT 2025","core.tests.experimental.KlastersTests","EXPERIMENTAL KLASTERS","core.tests.experimental.KlastersTests","testThatShouldPass"
"","22133","Test that navigates to Google, dismisses the search engine prompt, performs a search, and verifies results.","Frontend Test Automation - KLASTERS","Mon Feb 10 18:41:32 GMT 2025","broken","Mon Feb 10 18:41:54 GMT 2025","core.tests.experimental.KlastersTests","EXPERIMENTAL KLASTERS","core.tests.experimental.KlastersTests","googleSearchTestInIncognito"
"","2","Test that should fail - Klasters","Frontend Test Automation - KLASTERS","Mon Feb 10 18:41:54 GMT 2025","failed","Mon Feb 10 18:41:54 GMT 2025","core.tests.experimental.KlastersTests","EXPERIMENTAL KLASTERS","core.tests.experimental.KlastersTests","testThatShouldFail"
